"year","county","precip_1","precip_2","precip_3","precip_4","precip_5","precip_6","precip_7","precip_8","precip_9","precip_10","precip_11","precip_12","avgT_1","avgT_2","avgT_3","avgT_4","avgT_5","avgT_6","avgT_7","avgT_8","avgT_9","avgT_10","avgT_11","avgT_12","minT_1","minT_2","minT_3","minT_4","minT_5","minT_6","minT_7","minT_8","minT_9","minT_10","minT_11","minT_12","frozen_1","frozen_2","frozen_3","frozen_4","frozen_5","frozen_6","frozen_7","frozen_8","frozen_9","frozen_10","frozen_11","frozen_12","cornYield"
2021,"DELAWARE",-0.693846420812622,-0.855199142407644,-0.493178087634865,-0.888472966359731,-0.281756278402568,0.00453522112218186,1.22676010306106,0.927385989838089,-0.162005503023451,0.832956567207116,-0.320788024852881,-1.01475528928224,0.42730328471782,-0.872759923664222,0.840104494921717,0.0587456737866089,-0.674764166165733,0.609564600636843,-0.148175013754594,0.781684320573455,0.319883655047916,2.0512418451863,0.785754757191376,-0.0739143320075799,0.794558806478295,-0.747170039670977,0.27322405913777,-0.0732438382675878,-0.827693070543576,0.661284679769099,0.0441833910159927,0.869999640554312,0.299512038364265,2.37870794551221,0.570038837796592,-0.0214487246714031,1,1,1,0,0,0,0,0,0,0,0,1,201.6
2021,"FAYETTE",-0.184593051946362,-0.0246984322524778,0.0125688590295294,-0.577362330101218,-0.581454592904442,-0.516073935620344,1.05664629371924,-0.00117946297682538,-0.00341986130722697,0.632427544726672,-0.285276176924176,-0.668960409472565,0.605561182703504,-0.758924461913459,0.979491329433125,0.123894904431471,-0.503830154217683,0.852910468765095,0.0744534313432662,1.04076949198166,0.553424313925297,2.08436713818662,1.00045091252573,0.144893957177959,0.946570147906646,-0.546260355177111,0.521233593286751,0.156929463395642,-0.682589202367368,0.887574726099372,0.395622344890428,1.19152297012955,0.545981548022723,2.24704442539707,0.570038837796592,0.144273025384062,1,1,0,0,0,0,0,0,0,0,0,1,207.1
2021,"KNOX",-0.686870347266509,-0.46071130508394,-0.276429396207267,-0.49958467103659,0.179318051600316,-0.0110830535800936,0.739882648737926,0.48521196468813,-0.0404231777076794,1.0103476255552,0.0130233456769438,-0.51714802321466,0.373825915322115,-0.970333176593446,0.541418420968701,-0.429873556049864,-1.10209919603586,-0.169142177373565,-0.853165089897804,0.263513977757059,-0.380738321584237,1.68686362218275,0.46371052418985,-0.292722621193118,0.777668657430701,-0.881109829333555,-0.15515604530138,-0.763763743257286,-1.29202544870744,-0.153359487019885,-0.775840834691025,0.347524229994541,-0.563131245440337,2.01663326519557,-0.0284988351854127,-0.234519546171285,1,1,1,0,0,0,0,0,0,0,0,1,185.6
2021,"LICKING",-0.582229244074812,-0.39150291257101,-0.0885805303033496,-0.279214637020143,-0.0512191134011257,-0.344272913895311,0.428984997182189,0.801050554080958,0.297892857953599,1.08747417266306,-0.185843002723803,-0.609922259261157,0.462954864314957,-0.677613417805772,0.800279685061314,-0.136702018147981,-0.902676182096465,0.171542038005988,-0.482117681401376,0.695322596770726,0.00849610987806774,1.95186596618533,0.732080718357789,-0.095795160926134,0.845229253621078,-0.529517881469289,0.0928534888476013,-0.533590441594053,-1.17594235416648,-0.062843468487775,-0.463450653469303,0.709237975766688,-0.152348729342908,2.1812126653395,0.255019009911326,-0.139821403282449,1,1,1,0,0,0,0,0,0,0,0,1,179.8
2021,"MADISON",-0.456659920244775,-0.488394662089112,-0.319779134492787,-0.985695040190517,-0.131907121151631,-0.599371400699148,1.64324563627724,0.30202558284029,0.736646466701819,0.485887105221732,-0.249764328995471,-1.47019244805595,0.498606443912094,-0.856497714842684,0.959578924502923,0.189044135076335,-0.475341152226341,0.901579642390742,0.000243949643979539,1.08395035388302,0.592347757071525,2.21686831018791,0.94677687369214,0.0136089836666352,0.845229253621078,-0.646715197424044,0.498687272000481,0.27201611422726,-0.537485334191161,1.06860676316359,0.473719890195857,1.31209421872027,0.792451057681181,2.57620322568493,0.727548751739225,0.0495748824952246,1,1,0,0,0,0,0,0,0,0,0,1,210.1
2021,"MARION",-1.0007936568416,-1.0974285162029,-0.883325732204541,-0.998657983367955,-0.270229420152495,-0.172471892170277,0.534572878842627,-0.0264465501282517,0.097017711779715,1.09518682737385,-0.533859112425109,-1.7316471132779,0.409477494919251,-1.05164422070113,0.840104494921717,0.286767981043628,-0.703253168157075,0.220211211631636,-0.185279754604234,0.781684320573455,0.319883655047916,2.11749243118694,0.812591776608171,-0.0520335030890257,0.879009551716267,-1.01504961899613,0.385955665569126,0.387102765058875,-0.682589202367368,0.525510651970933,0.200378481626853,0.990570889145027,0.381668541583752,2.51037146562736,0.759050734527752,0.167947561106271,1,1,0,0,0,0,0,0,0,0,0,1,191.1
2021,"MORROW",-0.770583229819867,-0.7998324283973,-0.717151735443383,-0.713473233464318,0.179318051600316,-0.0891744270914727,0.734016655312346,0.472578421112417,-0.0192784254788495,1.14917541034936,-0.235559589823989,-1.02318931074101,0.231219596933567,-1.13295526480882,0.640980445619706,-0.169276633470413,-0.959654186079149,-0.0718038301222633,-0.630536644799949,0.393056563461158,-0.225044548999313,1.58748774318178,0.544221582440231,-0.314603450111672,0.659437614097538,-1.0652770401196,0.0703071675613307,-0.30341713993082,-1.08888003326075,0.0729305593103874,-0.463450653469303,0.468095478585259,-0.357739987391622,1.95080150513799,0.255019009911326,-0.163495939004658,1,1,1,0,0,0,0,0,0,0,0,1,191.3
2021,"PICKAWAY",-0.386899184783643,-0.0731443070115291,0.185967812171608,-0.622732631222251,-0.299046565777676,-0.932561261014365,0.382057049777549,-0.424403172763215,-0.368166837254542,0.724979401256108,-0.342095133610103,-0.677394430931337,0.676864341897778,-0.547515747233472,1.15870297380493,0.384491827010924,-0.24742913629561,1.19359468414464,0.25997713559148,1.38621638719259,0.748041529656449,2.41562006818984,1.18831004844329,0.276178930689282,0.980350446001835,-0.362093144391067,0.633965199718106,0.348740548115002,-0.508464560555919,1.24963880022781,0.590866208154006,1.47285588350789,0.792451057681181,2.70786674580007,0.916560648470385,0.381018382606154,1,1,0,0,0,0,0,0,0,0,0,1,195.8
2021,"ROSS",-0.317138449322512,0.182926745286314,0.409941459980125,-0.207918449544233,-0.59874488027955,-0.354685097030161,0.915862451505324,-0.677074044277478,0.334896174354051,0.686416127702177,-0.526756742839368,-0.55088410904975,0.819470660286326,-0.352369241375023,1.21844018859554,0.31934259636606,-0.304407140278294,0.80424129513944,0.148662913042553,1.34303552529123,0.592347757071525,2.31624418918888,1.32249514552725,0.341821417444943,1.098581489335,-0.144440986189377,0.633965199718106,0.156929463395642,-0.624547655096886,0.887574726099372,0.434671117543144,1.51304629970479,0.710294554461694,2.57620322568493,0.822054700104806,0.333669311161735,1,1,0,0,0,0,0,0,0,0,0,1,187.1
2021,"UNION",-0.707798567904848,-0.702940678879197,-0.298104265350027,-1.02458386972283,0.00641517784923455,-0.562928759727171,0.927594438356484,-0.361235454884649,0.0388696431504328,0.987209661422843,-0.320788024852881,-1.38585223346823,0.373825915322115,-1.00285759423652,0.800279685061314,-0.0389781721806872,-0.731742170148417,0.560895427011189,-0.148175013754594,0.781684320573455,0.319883655047916,2.08436713818662,0.812591776608171,-0.117675989844687,0.81144895552589,-0.847624881917911,0.385955665569126,0.118567246451772,-0.740630749637852,0.797058707567261,0.278476026932284,1.07095172153884,0.463825044803236,2.411623825541,0.759050734527752,0.0022258110508064,1,1,0,0,0,0,0,0,0,0,0,1,198.8
